B,m,memory_MB,time_sec,logB,logm,B_over_m,m_sq,log_time,device
128,2,16.62646484375,2.491234064102173,4.852030263919617,0.6931471805599453,64.0,4,0.9127781997907349,NVIDIA_A100-SXM4-40GB
128,4,16.73583984375,0.004309654235839844,4.852030263919617,1.3862943611198906,32.0,16,-5.446895281418555,NVIDIA_A100-SXM4-40GB
128,8,16.72802734375,0.02480602264404297,4.852030263919617,2.0794415416798357,16.0,64,-3.6966684036161905,NVIDIA_A100-SXM4-40GB
128,16,16.72412109375,0.005843400955200195,4.852030263919617,2.772588722239781,8.0,256,-5.1424405849718715,NVIDIA_A100-SXM4-40GB
128,32,16.72216796875,0.011431455612182617,4.852030263919617,3.4657359027997265,4.0,1024,-4.471385584357696,NVIDIA_A100-SXM4-40GB
128,64,16.72119140625,0.022245407104492188,4.852030263919617,4.1588830833596715,2.0,4096,-3.8056192644170164,NVIDIA_A100-SXM4-40GB
128,128,16.720703125,0.07722210884094238,4.852030263919617,4.852030263919617,1.0,16384,-2.561069349504847,NVIDIA_A100-SXM4-40GB
256,2,17.12646484375,0.0294954776763916,5.545177444479562,0.6931471805599453,128.0,4,-3.523517987458274,NVIDIA_A100-SXM4-40GB
256,4,17.31396484375,0.0018312931060791016,5.545177444479562,1.3862943611198906,64.0,16,-6.302727485712709,NVIDIA_A100-SXM4-40GB
256,8,17.28271484375,0.0030853748321533203,5.545177444479562,2.0794415416798357,32.0,64,-5.7810788864050915,NVIDIA_A100-SXM4-40GB
256,16,17.26708984375,0.005778312683105469,5.545177444479562,2.772588722239781,16.0,256,-5.153641831646404,NVIDIA_A100-SXM4-40GB
256,32,17.25927734375,0.010910749435424805,5.545177444479562,3.4657359027997265,8.0,1024,-4.518005872446579,NVIDIA_A100-SXM4-40GB
256,64,17.25537109375,0.02122354507446289,5.545177444479562,4.1588830833596715,4.0,4096,-3.8526436256880072,NVIDIA_A100-SXM4-40GB
256,128,17.25341796875,0.041738033294677734,5.545177444479562,4.852030263919617,2.0,16384,-3.176342256853622,NVIDIA_A100-SXM4-40GB
256,256,17.25244140625,0.08440232276916504,5.545177444479562,5.545177444479562,1.0,65536,-2.472160238317105,NVIDIA_A100-SXM4-40GB
512,2,18.50146484375,0.004212617874145508,6.238324625039508,0.6931471805599453,256.0,4,-5.469668627884148,NVIDIA_A100-SXM4-40GB
512,4,18.12646484375,0.0023865699768066406,6.238324625039508,1.3862943611198906,128.0,16,-6.037893909904423,NVIDIA_A100-SXM4-40GB
512,8,18.00146484375,0.0032608509063720703,6.238324625039508,2.0794415416798357,64.0,64,-5.725764036757734,NVIDIA_A100-SXM4-40GB
512,16,17.93896484375,0.006419658660888672,6.238324625039508,2.772588722239781,32.0,256,-5.048388773065611,NVIDIA_A100-SXM4-40GB
512,32,18.09521484375,0.01140141487121582,6.238324625039508,3.4657359027997265,16.0,1024,-4.474016942688983,NVIDIA_A100-SXM4-40GB
512,64,18.07958984375,0.02289271354675293,6.238324625039508,4.1588830833596715,8.0,4096,-3.7769361679649593,NVIDIA_A100-SXM4-40GB
512,128,18.07177734375,0.043007850646972656,6.238324625039508,4.852030263919617,4.0,16384,-3.1463723742519583,NVIDIA_A100-SXM4-40GB
512,256,18.06787109375,0.08665728569030762,6.238324625039508,5.545177444479562,2.0,65536,-2.4457940691311233,NVIDIA_A100-SXM4-40GB
512,512,18.06591796875,0.16577529907226562,6.238324625039508,6.238324625039508,1.0,262144,-1.7971219673207663,NVIDIA_A100-SXM4-40GB
1024,2,22.50341796875,0.0015604496002197266,6.931471805599453,0.6931471805599453,512.0,4,-6.4627748855858576,NVIDIA_A100-SXM4-40GB
