B,m,memory_MB,time_sec,logB,logm,B_over_m,m_sq,log_time,device
128,2,16.62646484375,2.670708656311035,4.852030263919617,0.6931471805599453,64.0,4,0.9823438552890279,NVIDIA_L4
128,4,16.73583984375,0.005620718002319336,4.852030263919617,1.3862943611198906,32.0,16,-5.18129408568659,NVIDIA_L4
128,8,16.71240234375,0.028477907180786133,4.852030263919617,2.0794415416798357,16.0,64,-3.558626327809804,NVIDIA_L4
128,16,16.83349609375,0.0068967342376708984,4.852030263919617,2.772588722239781,8.0,256,-4.976705828347895,NVIDIA_L4
128,32,16.83154296875,0.011826276779174805,4.852030263919617,3.4657359027997265,4.0,1024,-4.43743053198958,NVIDIA_L4
128,64,16.83056640625,0.024671554565429688,4.852030263919617,4.1588830833596715,2.0,4096,-3.7021039306938266,NVIDIA_L4
128,128,16.8310546875,0.10454821586608887,4.852030263919617,4.852030263919617,1.0,16384,-2.258106822490222,NVIDIA_L4
256,2,17.26708984375,0.005213499069213867,5.545177444479562,0.6931471805599453,128.0,4,-5.256502124172724,NVIDIA_L4
256,4,17.20458984375,0.002487659454345703,5.545177444479562,1.3862943611198906,64.0,16,-5.996408968901717,NVIDIA_L4
256,8,17.17333984375,0.0038604736328125,5.545177444479562,2.0794415416798357,32.0,64,-5.556962809879228,NVIDIA_L4
256,16,17.15771484375,0.006658077239990234,5.545177444479562,2.772588722239781,16.0,256,-5.011923036882671,NVIDIA_L4
256,32,17.14990234375,0.01253509521484375,5.545177444479562,3.4657359027997265,8.0,1024,-4.379222153721925,NVIDIA_L4
256,64,17.14599609375,0.024294614791870117,5.545177444479562,4.1588830833596715,4.0,4096,-3.7175001550850544,NVIDIA_L4
256,128,17.13232421875,0.04891610145568848,5.545177444479562,4.852030263919617,2.0,16384,-3.017648459145702,NVIDIA_L4
256,256,17.13134765625,0.08942914009094238,5.545177444479562,5.545177444479562,1.0,65536,-2.4143085862927967,NVIDIA_L4
512,2,18.38037109375,0.0015263557434082031,6.238324625039508,0.6931471805599453,256.0,4,-6.48486570025781,NVIDIA_L4
512,4,18.00537109375,0.0021190643310546875,6.238324625039508,1.3862943611198906,128.0,16,-6.15677592194656,NVIDIA_L4
512,8,17.88037109375,0.003687143325805664,6.238324625039508,2.0794415416798357,64.0,64,-5.602900575076567,NVIDIA_L4
512,16,17.81787109375,0.006316661834716797,6.238324625039508,2.772588722239781,32.0,256,-5.064562817961176,NVIDIA_L4
512,32,17.78662109375,0.011243104934692383,6.238324625039508,3.4657359027997265,16.0,1024,-4.487999343488826,NVIDIA_L4
512,64,17.77099609375,0.02208399772644043,6.238324625039508,4.1588830833596715,8.0,4096,-3.8129015646944144,NVIDIA_L4
512,128,18.02490234375,0.04253959655761719,6.238324625039508,4.852030263919617,4.0,16384,-3.1573197180159287,NVIDIA_L4
512,256,18.02099609375,0.08655261993408203,6.238324625039508,5.545177444479562,2.0,65536,-2.447002611523687,NVIDIA_L4
512,512,18.01904296875,0.16750335693359375,6.238324625039508,6.238324625039508,1.0,262144,-1.7867518268229583,NVIDIA_L4
1024,2,22.50341796875,0.0019106864929199219,6.931471805599453,0.6931471805599453,512.0,4,-6.260287447415415,NVIDIA_L4
1024,4,21.2529296875,0.0021965503692626953,6.931471805599453,1.3862943611198906,256.0,16,-6.120862610627153,NVIDIA_L4
1024,8,19.75341796875,0.0035400390625,6.931471805599453,2.0794415416798357,128.0,64,-5.643614692469218,NVIDIA_L4
1024,16,19.50341796875,0.006516456604003906,6.931471805599453,2.772588722239781,64.0,256,-5.0334229818429845,NVIDIA_L4
1024,32,19.37841796875,0.011990070343017578,6.931471805599453,3.4657359027997265,32.0,1024,-4.4236756091296705,NVIDIA_L4
1024,64,19.31591796875,0.02570343017578125,6.931471805599453,4.1588830833596715,16.0,4096,-3.6611304370594615,NVIDIA_L4
1024,128,19.28466796875,0.04640555381774902,6.931471805599453,4.852030263919617,8.0,16384,-3.07033591707326,NVIDIA_L4
1024,256,19.79833984375,0.0899055004119873,6.931471805599453,5.545177444479562,4.0,65536,-2.408996044477709,NVIDIA_L4
1024,512,19.79052734375,0.1732959747314453,6.931471805599453,6.238324625039508,2.0,262144,-1.752754251995552,NVIDIA_L4
2048,2,36.75927734375,0.001828908920288086,7.6246189861593985,0.6931471805599453,1024.0,4,-6.304030240633606,NVIDIA_L4
2048,4,32.2587890625,0.00222015380859375,7.6246189861593985,1.3862943611198906,512.0,16,-6.110174298165282,NVIDIA_L4
2048,8,26.2587890625,0.0037987232208251953,7.6246189861593985,2.0794415416798357,256.0,64,-5.573087630768312,NVIDIA_L4
2048,16,23.25927734375,0.006747245788574219,7.6246189861593985,2.772588722239781,128.0,256,-4.998619406602347,NVIDIA_L4
2048,32,22.75927734375,0.01261758804321289,7.6246189861593985,3.4657359027997265,64.0,1024,-4.372662769364917,NVIDIA_L4
2048,64,22.50927734375,0.02375173568725586,7.6246189861593985,4.1588830833596715,32.0,4096,-3.7400992485813727,NVIDIA_L4
2048,128,22.38427734375,0.04803061485290527,7.6246189861593985,4.852030263919617,16.0,16384,-3.0359164537521925,NVIDIA_L4
2048,256,22.32177734375,0.09832596778869629,7.6246189861593985,5.545177444479562,8.0,65536,-2.3194670162570987,NVIDIA_L4
2048,512,23.34521484375,0.17496514320373535,7.6246189861593985,6.238324625039508,4.0,262144,-1.7431684494366322,NVIDIA_L4
4096,2,89.28271484375,0.0029709339141845703,8.317766166719343,0.6931471805599453,2048.0,4,-5.818875560436646,NVIDIA_L4
4096,4,72.2822265625,0.0029516220092773438,8.317766166719343,1.3862943611198906,1024.0,16,-5.825397038118259,NVIDIA_L4
4096,8,48.2822265625,0.00477290153503418,8.317766166719343,2.0794415416798357,512.0,64,-5.344798775587679,NVIDIA_L4
4096,16,36.2822265625,0.007478237152099609,8.317766166719343,2.772588722239781,256.0,256,-4.895756852411777,NVIDIA_L4
4096,32,30.28271484375,0.01210331916809082,8.317766166719343,3.4657359027997265,128.0,1024,-4.414274726364176,NVIDIA_L4
4096,64,29.28271484375,0.02503228187561035,8.317766166719343,4.1588830833596715,64.0,4096,-3.687588612584048,NVIDIA_L4
4096,128,28.78271484375,0.04440140724182129,8.317766166719343,4.852030263919617,32.0,16384,-3.1144838901925462,NVIDIA_L4
4096,256,28.53271484375,0.08606481552124023,8.317766166719343,5.545177444479562,16.0,65536,-2.4526544815512565,NVIDIA_L4
4096,512,30.62646484375,0.1732637882232666,8.317766166719343,6.238324625039508,8.0,262144,-1.7529400006591553,NVIDIA_L4
8192,2,290.37646484375,0.006957054138183594,9.010913347279288,0.6931471805599453,4096.0,4,-4.96799771285306,NVIDIA_L4
8192,4,224.3759765625,0.006758213043212891,9.010913347279288,1.3862943611198906,2048.0,16,-4.996995286911957,NVIDIA_L4
8192,8,128.3759765625,0.0060443878173828125,9.010913347279288,2.0794415416798357,1024.0,64,-5.1086234165221445,NVIDIA_L4
8192,16,80.3759765625,0.0072138309478759766,9.010913347279288,2.772588722239781,512.0,256,-4.931753744446093,NVIDIA_L4
8192,32,56.3759765625,0.012770891189575195,9.010913347279288,3.4657359027997265,256.0,1024,-4.360586040591735,NVIDIA_L4
8192,64,44.37646484375,0.023582935333251953,9.010913347279288,4.1588830833596715,128.0,4096,-3.7472314835625107,NVIDIA_L4
8192,128,42.37646484375,0.046547889709472656,9.010913347279288,4.852030263919617,64.0,16384,-3.0672733953000986,NVIDIA_L4
8192,256,41.37646484375,0.09221935272216797,9.010913347279288,5.545177444479562,32.0,65536,-2.3835851626355224,NVIDIA_L4
8192,512,45.75146484375,0.18455910682678223,9.010913347279288,6.238324625039508,16.0,262144,-1.6897854504186052,NVIDIA_L4
