B,m,memory_MB,time_sec,logB,logm,B_over_m,m_sq,log_time,device
128,2,16.62646484375,4.136603832244873,4.852030263919617,0.6931471805599453,64.0,4,1.419875123223943,Tesla_T4
128,4,16.73583984375,0.004991292953491211,4.852030263919617,1.3862943611198906,32.0,16,-5.300058290378666,Tesla_T4
128,8,16.72802734375,0.027177095413208008,4.852030263919617,2.0794415416798357,16.0,64,-3.605380372868972,Tesla_T4
128,16,16.72412109375,0.008501291275024414,4.852030263919617,2.772588722239781,8.0,256,-4.767536036023782,Tesla_T4
128,32,16.72216796875,0.017668485641479492,4.852030263919617,3.4657359027997265,4.0,1024,-4.035972132580464,Tesla_T4
128,64,16.72119140625,0.03578782081604004,4.852030263919617,4.1588830833596715,2.0,4096,-3.3301473647015003,Tesla_T4
128,128,16.720703125,0.08988690376281738,4.852030263919617,4.852030263919617,1.0,16384,-2.4092029124736394,Tesla_T4
256,2,17.126953125,0.004621267318725586,5.545177444479562,0.6931471805599453,128.0,4,-5.377084136186284,Tesla_T4
256,4,17.064453125,0.025026559829711914,5.545177444479562,1.3862943611198906,64.0,16,-3.687817225290307,Tesla_T4
256,8,17.033203125,0.003697633743286133,5.545177444479562,2.0794415416798357,32.0,64,-5.600059488330736,Tesla_T4
256,16,17.017578125,0.007294178009033203,5.545177444479562,2.772588722239781,16.0,256,-4.9206774110801295,Tesla_T4
256,32,17.009765625,0.014274120330810547,5.545177444479562,3.4657359027997265,8.0,1024,-4.24930644783108,Tesla_T4
256,64,17.005859375,0.029479503631591797,5.545177444479562,4.1588830833596715,4.0,4096,-3.524059710047038,Tesla_T4
256,128,17.00390625,0.057537078857421875,5.545177444479562,4.852030263919617,2.0,16384,-2.8553255155098105,Tesla_T4
256,256,17.0029296875,0.12454605102539062,5.545177444479562,5.545177444479562,1.0,65536,-2.0830796634232613,Tesla_T4
512,2,18.37744140625,0.002867460250854492,6.238324625039508,0.6931471805599453,256.0,4,-5.854325083607593,Tesla_T4
512,4,18.00244140625,0.0027425289154052734,6.238324625039508,1.3862943611198906,128.0,16,-5.898871176159766,Tesla_T4
512,8,17.87744140625,0.004792451858520508,6.238324625039508,2.0794415416798357,64.0,64,-5.340711041652981,Tesla_T4
512,16,17.81494140625,0.008785009384155273,6.238324625039508,2.772588722239781,32.0,256,-4.7347073508395034,Tesla_T4
512,32,17.78369140625,0.01533055305480957,6.238324625039508,3.4657359027997265,16.0,1024,-4.17790685782251,Tesla_T4
512,64,17.76806640625,0.029126405715942383,6.238324625039508,4.1588830833596715,8.0,4096,-3.5361097600049165,Tesla_T4
512,128,17.76025390625,0.05962514877319336,6.238324625039508,4.852030263919617,4.0,16384,-2.8196776669143953,Tesla_T4
512,256,18.01318359375,0.11799049377441406,6.238324625039508,5.545177444479562,2.0,65536,-2.1371511342428953,Tesla_T4
512,512,18.01123046875,0.2338716983795166,6.238324625039508,6.238324625039508,1.0,262144,-1.4529825687594373,Tesla_T4
1024,2,22.50341796875,0.002895832061767578,6.931471805599453,0.6931471805599453,512.0,4,-5.844479342628312,Tesla_T4
1024,4,21.2529296875,0.002419710159301758,6.931471805599453,1.3862943611198906,256.0,16,-6.024103382152141,Tesla_T4
1024,8,19.7529296875,0.004340648651123047,6.931471805599453,2.0794415416798357,128.0,64,-5.439729179453074,Tesla_T4
1024,16,20.50146484375,0.008222579956054688,6.931471805599453,2.772588722239781,64.0,256,-4.800870039729262,Tesla_T4
1024,32,20.37646484375,0.01590704917907715,6.931471805599453,3.4657359027997265,32.0,1024,-4.140992294756171,Tesla_T4
1024,64,20.31396484375,0.03073740005493164,6.931471805599453,4.1588830833596715,16.0,4096,-3.4822747976765065,Tesla_T4
1024,128,20.28271484375,0.05993008613586426,6.931471805599453,4.852030263919617,8.0,16384,-2.8145764603774337,Tesla_T4
1024,256,20.26708984375,0.11878824234008789,6.931471805599453,5.545177444479562,4.0,65536,-2.130412762969334,Tesla_T4
1024,512,19.77490234375,0.24396681785583496,6.931471805599453,6.238324625039508,2.0,262144,-1.4107230143416782,Tesla_T4
2048,2,36.75927734375,0.003331422805786133,7.6246189861593985,0.6931471805599453,1024.0,4,-5.704352795522393,Tesla_T4
2048,4,32.2587890625,0.002907991409301758,7.6246189861593985,1.3862943611198906,512.0,16,-5.840289234681767,Tesla_T4
2048,8,26.2587890625,0.005871295928955078,7.6246189861593985,2.0794415416798357,256.0,64,-5.137678194765936,Tesla_T4
2048,16,23.25927734375,0.009435176849365234,7.6246189861593985,2.772588722239781,128.0,256,-4.663309296503426,Tesla_T4
2048,32,22.75927734375,0.019279956817626953,7.6246189861593985,3.4657359027997265,64.0,1024,-3.948688710878659,Tesla_T4
2048,64,22.50927734375,0.030448198318481445,7.6246189861593985,4.1588830833596715,32.0,4096,-3.4917281266729305,Tesla_T4
2048,128,22.38427734375,0.06177115440368652,7.6246189861593985,4.852030263919617,16.0,16384,-2.7843186188176063,Tesla_T4
2048,256,23.43896484375,0.12224411964416504,7.6246189861593985,5.545177444479562,8.0,65536,-2.1017351710507515,Tesla_T4
2048,512,23.40771484375,0.23243451118469238,7.6246189861593985,6.238324625039508,4.0,262144,-1.4591467229328594,Tesla_T4
4096,2,89.28271484375,0.005938053131103516,8.317766166719343,0.6931471805599453,2048.0,4,-5.126372270985479,Tesla_T4
4096,4,72.2822265625,0.0068073272705078125,8.317766166719343,1.3862943611198906,1024.0,16,-4.989754238144556,Tesla_T4
4096,8,48.2822265625,0.0071485042572021484,8.317766166719343,2.0794415416798357,512.0,64,-4.940850740064345,Tesla_T4
4096,16,36.2822265625,0.008817911148071289,8.317766166719343,2.772588722239781,256.0,256,-4.730969134242044,Tesla_T4
4096,32,36.25146484375,0.014796018600463867,8.317766166719343,3.4657359027997265,128.0,1024,-4.213396472027594,Tesla_T4
4096,64,35.25146484375,0.029522180557250977,8.317766166719343,4.1588830833596715,64.0,4096,-3.522613076134049,Tesla_T4
4096,128,34.75146484375,0.05771780014038086,8.317766166719343,4.852030263919617,32.0,16384,-2.8521894851520235,Tesla_T4
4096,256,34.50146484375,0.11362051963806152,8.317766166719343,5.545177444479562,16.0,65536,-2.1748910703778255,Tesla_T4
4096,512,30.62646484375,0.23238539695739746,8.317766166719343,6.238324625039508,8.0,262144,-1.4593580487582132,Tesla_T4
8192,2,290.37646484375,0.018298625946044922,9.010913347279288,0.6931471805599453,4096.0,4,-4.000928760380382,Tesla_T4
8192,4,224.3759765625,0.019176959991455078,9.010913347279288,1.3862943611198906,2048.0,16,-3.954045199511554,Tesla_T4
8192,8,128.3759765625,0.020143985748291016,9.010913347279288,2.0794415416798357,1024.0,64,-3.9048490127459434,Tesla_T4
